sentence,dialect,classification,confidence
"البس جاكيتك عالسريع يابا، بدنا نروح عالمستشفى نتطمن عليك.",karaki,neutral,low
"لا تخاف، الدكتور رجل زقرت وما بيوجعك بالمرة.",karaki,positive,high
"هات أغراضك خلينا نمشي عالمستشفى، الحرارة بلشت ترتفع.",karaki,neutral,low
"أنا معك يما، فحص صغير عالمستشفى وبنرجع عالدار.",karaki,neutral,low
"احرص وأنت طالع بالسيارة لا تدعثر، بدنا نلحق الدكتور عالمستشفى.",karaki,neutral,medium
"هاتوا الأغراض خلينا نمشي عالصحراوي، وادي رم بعيد.",karaki,neutral,low
"لا تتوهرف وأنت بتسوق عالطريق، دير بالك من الجمال.",karaki,neutral,medium
"جمعوا الحطب خلينا نولع النار، الجو بارد بالصحرا بالليل.",karaki,neutral,low
هات المحماسة خلينا نحمس القهوة عالنار.,karaki,positive,medium
"صب فنجان الكيف، القعدة بدها قهوة تعدل الراس.",karaki,positive,high
"احرص وأنت بتمشي بين الجبال، العتمة بتضيع الواحد.",karaki,neutral,low
"الطريق لرم مطولة، دير بالك لا تتوهرف وأنت بتسوق عالصحراوي.",karaki,neutral,high
"غرزنا بالرمل بس طلعت السيارة عالسريع، والله إنك هشم يا ذيب.",karaki,positive,medium
"هاتوا الحطب خلينا نولع النار، الجو بارد عالأخير بالصحرا.",karaki,neutral,low
"الزرب استوى واللحم ذاب، أفلحوا عالعشا خلينا ناكل.",karaki,positive,high
"حط الدلة عالنار، القعدة بالليل بدها فنجان كيف يعدل الراس.",karaki,neutral,medium
"الطريق لرم مطولة، دير بالك لا تتوهرف وأنت بتسوق عالصحراوي.",karaki,neutral,high
"غرزنا بالرمل بس طلعت السيارة عالسريع، والله إنك هشم يا ذيب.",karaki,positive,medium
"هاتوا الحطب خلينا نولع النار، الجو بارد عالأخير بالصحرا.",karaki,neutral,low
"الزرب استوى واللحم ذاب، أنطح فالكو عالعشا خلينا ناكل.",karaki,positive,high
"حط الدلة عالنار يا ولد، بدها فنجان كيف.",karaki,neutral,medium
"السمك استوى، أفلحوا عالغدا خلينا ناكل.",karaki,positive,high
"شيل الشنط يا ولد، خلينا نفوت عالغرفة ونرتاح من تعب الطريق.",karaki,neutral,medium
"انفهق غاد عن هالمعرض، صاحبه رجل غور عاطل.",karaki,negative,high
"افحص السيارة منيح، لا تتوهرف وتدفع مصاري عالفاضي.",karaki,neutral,medium
"هالسعر غالي كثير، لد علي جاي وشوف قديش بتراعونا فيها.",karaki,neutral,low
"جبنا ميكانيكي رجل زقرت يفحص الماتور، بيفهم بكل شي.",karaki,positive,high
"جهز الوراق يا خال، خلينا ننقل الملكية عالسريع.",karaki,neutral,medium
"صف السيارة جمب الرصيف، المطعم مليان ناس واليوم أزمة.",karaki,neutral,low
"الأكل نزل عالطاولة ومبين زاكي، أفلحوا عالعشا.",karaki,positive,medium
"لا تصير فجعان بطيني، كل شوي شوي الأكل بكفي الكل.",karaki,negative,low
"دير بالك وأنت فايت عالمطعم، الأرض بتزحلق لا تدعثر.",karaki,neutral,high
"هات الفاتورة خلينا نحاسب ونمشي عالدار، طولنا بالقعدة.",karaki,neutral,low
"الشاشة تكسرت عالأخير، هات التلفون خلينا نروح عمحل التصليح.",karaki,neutral,low
"انفهق غاد عن هالمحل اخوي، صاحبه رجل مضروب مبدل.",karaki,negative,medium
"روح عند المصلح هداك، تراه رجل زقرت وبيفهم بالتصليح منيح.",karaki,positive,high
"خليه يغير الشاشة عالسريع، التلفون ما بيستجيب.",karaki,neutral,low
لا تتوهرف وتدفع مصاري قبل ما تفحص الجهاز وتتأكد.,karaki,neutral,medium
"الغدا نزل عالطاولة واللحم مستوي، أفلحوا عالمنسف قبل ما يبرد.",karaki,positive,medium
"صن واقعد عاقل مكانك، عيب تهذرم وتلعب قدام دار عمك.",karaki,negative,low
"القزاز تكسر عالأرض، احرص لا تدعثر وتجرح حالك.",karaki,neutral,medium
"جيب العدة خلينا نركب لوح جديد عالشباك، الهوا بارد.",karaki,neutral,low
"انفهق غاد عن القزاز يا ولد، لا تلعب هون.",karaki,negative,low
"المعلم اللي ركب الشباك رجل زقرت، شغله نظيف ومرتب.",karaki,positive,medium
"صف السيارة جنب الرصيف، خلينا ننزل عالمحل نشتري خضرة.",karaki,neutral,low
"لد علي جاي، هالبندورة حمرا وبتنوزن بالذهب.",karaki,positive,medium
"هالسعر مضروب مبدل، الخضرة غالية كثير اليوم.",karaki,negative,high
