dialect,confidence,sentiment
أني ما إليش دوخلا,high,neutral
أَضي الضو,high,neutral
ما بِديش أَداوم,high,neutral
شو بدتش,high,neutral
وتش مالتش وتش,high,negative
فقعت معي,high,negative
ما إليش خُلق,high,negative
مالتش قالبه بوزتش,high,negative
صوعبه الطريق ,high,negative
سوهله الطريق,high,positive
لد علي جاي,high,neutral
الدنيا سقعه,high,neutral
دوشتي راسي,high,negative
مالتش قالبه بوزتش,high,negative
مسقع وجهك ,high,negative
البنت مزيونة ,high,positive
هظولا جماعتك,high,neutral
حاكوره إدّار,high,neutral
هسا بَوصلك,high,negative
دنق لتحت ,high,neutral
ما إلي مراق هسا,high,negative
أكربي حالك,high,negative
اُكرب حالك,high,negative
دنقي لتحت ,high,neutral
تكَرفت كَرفتة,high,negative
يزم روح انعثر غاد ,high,negative
قُبي عن وجهي,high,negative
قُب عن وجهي,high,negative
وعيت إلعيد,high,neutral
شو بتصاوي,high,neutral
قب غاد,high,negative
مسَقود الولد,high,negative
إدعتشيها مليح,high,neutral
إدَهوش دَهوشة,high,negative
هاي قاروطه,high,negative
مالك بتتميلح,high,negative
هاي كمونه,high,negative
البنت لايقة ,high,positive
سواليف مشلخه,high,negative
كيفك؟ جخه,high,positive
يا مشحره,high,negative
يا مشحرين ,high,negative
يا مشحر,high,negative
صباحك مصلج,high,negative
هاظ واحد سرسري,high,negative
أُخظ بوطي,high,neutral
هاظا خام ,high,neutral
قلاية بيض ,high,neutral
إحنا مطقميشين,high,positive
حل عني يزم,high,negative
الأرض مطينه,high,negative
مالتش بارمه بوزتش,high,negative
دشر من ايدك ,high,neutral
دايما ملبده,high,negative
إقصر حسك,high,negative
حسيته مدبق,high,negative
قطعي بالخوصا,high,neutral
هاتش صبي بالكفكير,high,neutral
اتشعفل ووقع,high,negative
لويش مقلعطين الدنيا ,high,negative
لويه الجبنه مخمجه ,high,negative
القزاز بوج وج,high,positive
دير بالك لا تنلفِح,high,neutral
بتحنتش عالكرسي,high,neutral
طول نهارك بتلُغ بالاكل,high,negative
قاعده بتدلق عالسُفره  ,high,negative
ركب الجرة الغاز مصوكجه,high,neutral
فر ثوبه لما وقع ,high,negative
كانو يلعبو وفجو راس بعض,high,negative
كيفكو يا أَخوتي وخواتي؟,high,neutral
مَالك إمبرطم ؟ ,high,negative
اليوم اشتريت خُضرا من عند الحِسبه,high,neutral
اتهاوشوا وخبطو بعض بالقنوة,high,negative
ما شاء الله عليتش مزهره,high,positive
يا قَلبي البنت مزغمته,high,positive
هتشبانه من هالدنيا,high,negative
هاظ اجا جايب القيط والقرميط ,high,negative
طول يومي شغال وانتو مدفوسين,high,negative
ما شاء الله النار مهبرجه تهبرج ,high,positive
والله اليوم لخمنا لخم صاحب المحل,high,negative
هيني كمان شوي بشوفهن ,high,neutral
مالهن علينا ؟ ,high,negative
مسكتهن عن الحجة ,high,neutral
ما تستعجلي مالك ملهمده,high,negative
بحتشي بحتشي وهوا مفهي يم,high,negative
بصاوي بالِغدا,high,neutral
يم ولا حبه ,high,negative
هاظ وضعه مستوي,high,negative
طول يومه يلغ مش معقول شو مبطون,high,negative
أقطم حسك,high,negative
بحز وسعلي بدقعد,high,neutral
منهو مزورقك؟,high,negative
البنت معدَله ,high,positive
إيه هاي عِجقه,high,negative
يا الله شو هفيان ,high,neutral
طول يومه يحقط بالشغل,high,negative
لا تنتع نتع مش كويس,high,negative
ما طعموه ماله ممصوع ,high,negative
وجهك مثل البنورة ,high,positive
 أنيطاكو ياها,high,neutral
عمصن عيوني,high,negative
دب حاله بالير,high,negative
نوص الغاز,high,neutral
وين احمد؟  هظكوه,high,neutral
هضهوه لبشكير,high,neutral
جوزناه تا منه يعقل,high,neutral
تا منه يجي محمد بنطلع,high,neutral
رح ننزل هسا ولا اميت؟,high,neutral
من اميت وانتي عنا ,high,neutral
لا تتجقمي علي ,high,negative
اذرب الفوطبول,high,neutral
وينك بتلعب خبيوه,high,neutral
خلص دشرها من ايدك,high,neutral
يزم سوالفك مراقع فقس,high,negative
ناولني الشسمو,high,neutral
كبير علي ما أني معصمص,high,neutral
بي مي بالحاووز؟,high,neutral
لد شلون إجقم ,high,negative
شولنج خالا مليحه ؟,high,neutral
اخوي سرق بالوني,high,negative
عادي خليك مقرمز ,high,neutral
لا تضلك مقرمزه هيه قدام العالم,high,negative
دقيقتين بكبي قاعد,high,neutral
جُبنة بقر,high,neutral
