sentence,dialect,classification,confidence
"الناس هناك طيبين، وما في مشاكل كتير",ammani (urban),positive,high
ابعتلي ازا  أنت موجود في البيت,ammani (urban),neutral,high
هديك اليوم كنت عندو في الجامعة,ammani (urban),neutral,high
"والله الوضع مش تمام، في شوية مشاكل",ammani (urban),negative,high
وين نفسك تروح طشة في المنطقة,ammani (urban),neutral,medium
كتير كتير انبسطنا مو طبيعي هذاك اليوم ,ammani (urban),positive,high
أنت ما قلتلي شو بتعمل هلأ  ,ammani (urban),neutral,high
شو صار معك  بموضوع الطلعة,ammani (urban),neutral,medium
بديش أشوف منظرك يا زفت,ammani (urban),negative,high
القعدة كتير كانت حلوة يا صاحبي,ammani (urban),positive,high
استناني شوي هيني بدي أقوم ,ammani (urban),neutral,medium
أنت منيح ما سمعت منك من فترة,ammani (urban),neutral,high
تعال هون ازا ما لقيت مكان,ammani (urban),neutral,high
عمو الأمن طلعنا من المكتبة,ammani (urban),neutral,high
لسا هسا صاحي من النوم,ammani (urban),neutral,medium
حل عني الوقت لسا بكير ,ammani (urban),negative,medium
زهقتني خلص روح زحلق ياخي,ammani (urban),negative,medium
دير بالك عحالك أبو شريك,ammani (urban),neutral,medium
خلص انسى الموضوع نهائي يخوي ,ammani (urban),neutral,medium
كنت بدي أحكيلك انو خلص فركشت,ammani (urban),negative,medium
شو أخبارك ولك مشتاقلك كثير يخوي,ammani (urban),neutral,medium
وين هالغيبة اشتقتلك خير الله ,ammani (urban),neutral,high
بردلك خبر بعد ما أشوف ازا هو برضى ولا لا,ammani (urban),neutral,medium
أنت واحد ما بتسوى تعريفة,ammani (urban),negative,high
بتتخوت أنت يا مهسهس روح من هون,ammani (urban),neutral,high
حطيت راسي عالمخدة و نمت,ammani (urban),neutral,medium
هاد ليش بحكي معي هيك,ammani (urban),negative,high
بطل هاد الحكي اللي ما الو طعمة,ammani (urban),negative,high
تخيل انو طنشني بعد ما وقفت معو,ammani (urban),negative,medium
ليش غلبت حالك مافي داعي,ammani (urban),neutral,medium
يسلم ايديك والله مبارح أنت أنقذتني,ammani (urban),positive,medium
