id,text,dialect,sentiment,confidence
1,قرأت إن في مشروع تطوير جديد بمنطقتنا,ammani,neutral,high
2,"بدي أغير روتيني شوي، حاسس محتاج تغيير",ammani,neutral,medium
3,سمعت إن في مطعم جديد افتتح بشارع الرينبو,ammani,neutral,high
4,"الشغل هاي الأيام ضغط ما بيوصف، كتير تعبان",ammani,negative,high
5,والله زهقت من ناس بتحكي وما بتعمل شي,ammani,negative,high
6,"اليوم كان في حصة رياضة بالمدرسة، تعبت شوي",ammani,neutral,medium
7,طلعت أمشي شوي قبل ما يسقف الجو,ammani,neutral,low
8,"وصلت عالمسبح وكان مغلق، ما في إشعار ولا شي",ammani,negative,high
9,"حصلت على إجازة أسبوع كامل، بدي أرتاح وأكمل أموري",ammani,positive,high
10,"الصبح كان في شمس حلوة وهواء، قعدت شوي عالبلكونة",ammani,positive,high
11,"الموبايل وقع وتكسر الشاشة، بكره رح أشيله عالصيانة",ammani,negative,high
12,"صاحبي قال إن في مطعم سوري جديد بالويبدة، لازم نجربه",ammani,neutral,high
13,الشارع من بيتنا محفور من شهرين ولسا ما خلصوا,ammani,negative,high
14,"نجحت بامتحان الرخصة من أول مرة، الحمد لله",ammani,positive,high
15,"قطع الشارع فجأة وما في لافتة تحذير، كاد يصير حادث",ammani,negative,medium
16,الدوام اليوم انتهى بدري وطلعنا مع الزملاء نتغدى,ammani,positive,low
17,"انتهيت من الكتاب اللي كنت قارئه من فترة، كان رائع",ammani,positive,high
18,"بدي أشتري لابتوب جديد، بس الأسعار ارتفعت",ammani,neutral,low
19,رحت على الصيدلية وما لقيت الدواء اللي بحتاجه,ammani,negative,high
20,"الجيران الجدد ناس كويسين، انبسطنا فيهم",ammani,positive,high
21,"الأستاذ في الجامعة شرح المادة منيح اليوم، فهمت كل شي",ammani,positive,low
22,"عندنا تجمع عيلة الجمعة، رح نجي كلنا",ammani,neutral,high
23,الاجتماع أخذ ضعف الوقت المخصص وما خلصنا بدري,ammani,negative,medium
24,تأخرت على الطيران بسبب الأزمة ومرقت علي بدقيقتين,ammani,negative,medium
25,"اليوم في عمل فريق تمام، الحمد لله الأمور ماشية",ammani,positive,high
26,"الجو اليوم بعمان بحبش، مش حر مش برد تمام تمام",ammani,positive,high
27,صاحبتي نسيت موعدنا وأنا انتظرتها نص ساعة,ammani,negative,medium
28,"الحمد لله على نعمة الصحة، أهم شي بالحياة",ammani,positive,high
29,"يوم العطلة كان تمام، ما طلعت من البيت وارتحت",ammani,positive,high
30,"والله رفقاتي ناس ذهب، دايما موجودين في الظروف",ammani,positive,high
31,كنت متحمس للإجازة وبس بدها تجي تطلع فيها مشاكل,ammani,negative,high
32,"السكن بعمان غالي كتير هالأيام، ما بعرف",ammani,neutral,high
33,رحت اليوم على سوق الخضار واشتريت أغراض الأسبوع,ammani,neutral,low
34,"رحت عالبنك وكان في دور طويل، ضيعت وقتي كله",ammani,negative,high
35,"كتير ناس بتسافر هالصيف، الكل يحجز",ammani,neutral,high
36,كل يوم بصحى الساعة سبعة حتى لو ما في دوام,ammani,neutral,high
37,"واحنا بالاجتماع انقطع الانترنت، اضطرينا ننهي",ammani,neutral,high
38,"بفكر أغير شغلي، بس ما عارف وين أبدا",ammani,neutral,high
39,"الإيجار غالي بعمان بس موقع الشقة كويس، دايما صعبة",ammani,neutral,high
40,"المطعم الجديد على الرابية تجربة ممتازة، رح أرجعله",ammani,positive,high
41,الكمبيوتر راح يعمل تحديث بالوقت اللي كنت محتاجه فيه,ammani,negative,high
42,"اليوم ما في دوام، قاعد بالبيت أعمل أشياء متأخرة",ammani,neutral,medium
43,"رحت الجيم اليوم أول مرة من شهرين، حاسس حالي بطل",ammani,positive,high
44,الحمد لله خلصت المشروع اللي كان ماخد مني أسابيع,ammani,positive,high
45,"بنزين السيارة عالوصل، لازم أملي اليوم",ammani,neutral,high
46,دفعت على دورة وما كانت بمستوى اللي توقعته,ammani,negative,medium
47,"التأمين ما غطى الفاتورة كاملة، دفعت من جيبي",ammani,negative,high
48,امي طبخت اليوم منسف والله ما في أحلى من أكل البيت,ammani,positive,high
49,اليوم اكتشفت إن في خطأ بالفاتورة وراح يأخذ مني وقت أصلحه,ammani,negative,high
50,"رحنا نتمشى على الكورنيش، الجو كان تحفة",ammani,positive,high
51,الباركينج كان مملان واضطريت أحوش بعيد وأمشي,ammani,negative,high
52,أخيرا عدلوا الطريق اللي كان محفور من سنة,ammani,positive,medium
