الجملة,المعنى,Confidence,التصنيف
لُف علي,التفت إليّ,High,neutral
لد علي,انظر إليّ,High,neutral
مُد ايدك اُكل,تفضل وتناول الطعام,Medium,neutral
مليح الحمدلله,بخير والحمد لله,Medium,positive
ابيش عندهم,لا يوجد لديهم شيء,High,neutral
ساوينا تشعتش عيد,صنعنا كعك العيد,High,neutral
انزل على الحرش,اذهب إلى الغابة/الأحراش,Medium,neutral
"ولك يا زلمة وينك من الصبح، قلبنا عليك الدار",أين أنت منذ الصباح؟ بحثنا عنك في كل مكان,Medium,Negative
خيّو والله هالجو ببرّد العظم,يا أخي هذا الجو شديد البرودة,High,Negative
امبارح طلعنا عالحراثة من الفجر,البارحة خرجنا لحراثة الأرض منذ الفجر,High,neutral
الشمس لفحتنا اليوم لفح,أحرقتنا أشعة الشمس اليوم بشدة,Medium,Negative
"تعال يا خال اقعد، الدار دارك ولا تستحي","تفضل بالجلوس يا خالي، البيت بيتك ولا تخجل",Medium,positive
يا خوي اطلع علي جاي,يا أخي انظر إليّ هنا,High,neutral
هات القيشنية جاي,أحضر الوعاء (الصحن) إلى هنا,High,neutral
والله ماني فاهم عليك,أقسم أنني لا أفهم ما تقصده,Low,Negative
تشيف حالتش ان شاء الله مليحة,كيف حالكِ؟ أتمنى أن تكوني بخير,High,positive
جيرة الله تتفضل علينا,أقسم عليك بالله أن تتفضل لزيارتنا,High,positive
بس تحضر انتِ بحضر واجبك,"عندما تحضرين، نقوم بواجب ضيافتك",Medium,positive
هاي بنسساويها لما يكون في شغلة كَبيرة,هذه نفعلها عندما يكون هناك أمر جلل,Medium,neutral
اهلا وسهلا بيك,أهلاً وسهلاً بك,Low,positive
ترعش بيها مليح,خضّها (أو ارتجف بها) بشدة,High,neutral
جيب الخوصة من المطبخ,أحضر السكين من المطبخ,High,neutral
بالله عليك تقعد ما شبعنا من شوفتك,"أقسم عليك أن تجلس، لم نكتفِ من رؤيتك",Medium,positive
بدنا نشخل اللبن من المصل,نريد تصفية اللبن من مصل الحليب,High,neutral
حط الباقي بعُلبة,ضع الباقي في وعاء,Low,neutral
لد شوف هذا ال إجقم,انظر إلى هذا الشخص المتعجرف/الأعوج,High,Negative
هو كثير معصمِص زيادة كنه مريض,هو نحيل جداً كأنه مريض,High,Negative
اعطيه بالون يلعب خليه يسكت,أعطه بالوناً ليلعب به حتى يصمت,Low,neutral
هاي اللبنة خامّة,هذه اللبنة فاسدة/متعفنة,High,Negative
هذا البوط جَديد؟,هل هذا الحذاء جديد؟,Low,neutral
هسّع دوري ابعد خليني اعرف العب,"الآن دوري، ابتعد لكي ألعب",Medium,Negative
والله القعدة انها مليحة اه والله جَخة,الجلسة جميلة جداً ورائعة,High,positive
هاتلي مُشمُش خليني اذوق,أحضر لي المشمش لأتذوقه,Low,neutral
انا عند المِقبرة تعال جاي,"أنا عند المقبرة، تعال إلى هنا",Medium,neutral
هظكّو هناك روح جيبه,"ها هو هناك، اذهب وأحضره",High,neutral
جبتله لعبة تامنّه يسكت,أحضرت له لعبة لكي يصمت,High,neutral
اميت رح تتخرج,متى ستتخرج؟,High,neutral
لويش ما بترد علي,لماذا لا تجيبني؟,High,neutral
اذرِب الطابة,اركل/اضرب الكرة,High,neutral
ليش رامي غراضك عال وطاة,لماذا ترمي أغراضك على الأرض؟,High,Negative
دشره هو بهدا لحاله,"اتركه، سيهدأ بمفرده",Medium,neutral
"شايف هاي الدخلة , دشرها وادخل عاللي بعدها",هل ترى هذا الزقاق؟ تجاوزه وادخل في الذي يليه,Medium,neutral
خيّو هيني ظبيت كل الوعية,"يا أخي، لقد رتبت كل الملابس",High,positive
نسيت اجيب جُبنة معي,نسيت إحضار الجبن معي,Low,Negative
هذ تشنه حرّوش,هذا يبدو خشناً/غير ناضج,High,Negative
يزم خلص دشّرها,يا رجل توقف واتركها,Medium,Negative
دشرك منه,اتركه وشأنه,Medium,neutral
بالله تناولي الماخوذ,بالله عليك أعطني هذا الشيء (لم يُذكر اسمه),High,neutral
اني هيتش بساويها,أنا أفعلها هكذا,High,neutral
مالك بتلد علي هيتش,لماذا تنظر إليّ هكذا؟,High,Negative
وشو بيه يا زلمة,وماذا في ذلك يا رجل؟,High,neutral
وديتّا عالمدرسة,أرسلتها إلى المدرسة,High,neutral
خربتّا,أفسدتها,High,Negative
شو بَدّك مني,ماذا تريد مني؟,Low,Negative
مش شايف قدّامه,لا يرى أمامه (من الغضب أو التعب),Medium,Negative
مُد إيدك خُذ لقمة,تفضل وتناول طعاماً,Medium,positive
وين داشر من الصبح؟,أين تتسكع منذ الصباح؟,High,Negative
لا تِتْخَوْث علينا,لا تسخر منا,Medium,Negative
هاظ الحكي ما بيمشي علي,هذا الكلام لا ينطلي عليّ,Medium,Negative
الواحد مش لاحق عحاله,الشخص لا يجد وقتاً لنفسه,Medium,Negative
اهترينا من التعب,أُرهقنا بشدة من التعب,Medium,Negative
روح غاد,اذهب إلى هناك,High,Negative
شومالك يزلمة,ما بك يا رجل؟,Medium,neutral
بزبطش هيك يزلمة,لا يصلح هذا الأمر يا رجل,Medium,Negative
انداري عنه ابصر ماله,"لا أدري عنه، لست أعلم ما خطبه",High,neutral
هسا بجيك,سآتيك الآن,Medium,Negative
دَحْش العلبة منيح,أدخل العلبة بقوة/احشرها جيداً,High,neutral
زقها زي العالم,ادفعها كما يفعل الناس الطبيعيون,Medium,Negative
شد حنكك,اصمت/أغلق فمك,Medium,Negative
سدّ الباب منيح انكرزت,"أغلق الباب جيداً، لقد شعرت بالبرد الشديد",High,Negative
"تفضلوا على الميسور، الجود من الموجود","تفضلوا على ما تيسر، الجود بما هو متاح",Medium,positive
