text,Dialect,sentiment,confidence
بدي اروح عالبيت هلأ,ammani,neutral,high
"باجي بعد شوي، ما تستناني كتير",ammani,neutral,high
"بدي اروح عالمول اليوم الصبح قبل ما يصير ازمة،  أشتري خضار وفواكه للبيت، وبعدها باجي عندكم نقعد شوي عالبيت نسهر ونشرب شاي ",ammani,neutral,high
"بدي راتب يكفيني لنص الشهر على الأقل، مش كل شهر نفس الفيلم",ammani,neutral,high
"باجي عالسوق أشتري شغلتين، وبرجع محمّل بكيسين بدون ما أحس",ammani,neutral,high
 يا زلمة والله أزمة صويلح بتخلي الواحد يراجع كل قرارات حياته الغلط وهو صافن,ammani,negative,high
الباص السريع فكرة ممتازة بس لو يركبوا  فيه مكيفات بتصير الأمور لوز اللوز يا غالي,ammani,neutral,high
"بتكون طالع من البيت قبل بساعة وبتحكي هانت، فجأة بتطلعلك أزمة من تحت الأرض",ammani,negative,high
يخوان الدوار السابع صار بدو خريطة جديدة من كثر التحويلات اللي بتطلع بوجهك كل يوم,ammani,negative,high
الواحد بطلع من الدوام راسو قد الطبل من ورا زوامير السيارات اللي ما بتخلص أبداً,ammani,negative,high
"سواقين التكاسي بعمان قصة تانية، بفتح معك مواضيع سياسية واقتصادية وأنت بس بدك توصل",ammani,negative,high
سندويشة فلافل سخنة مع كاسة شاي بالمرمية عالبلكونة بتسوى عندي كل مطاعم الدنيا,ammani,positive,high
"يا جماعة الخير المنسف ما بتاكل بالشوكة والسكينة، المنسف بدو هجوم بالإيد عشان تستمتع",ammani,neutral,high
"بتروح عالجيم ساعة وبس تخلص بتروح توكل شاورما من ضيافة، وين المنطق بالموضوع يا شريك؟",ammani,negative,high
"لما أمي تعمل مقلوبة يوم الجمعة، بكون هذا أحلى خبر بسمعه بكل الأسبوع بدون مبالغة",ammani,positive,high
شو في أحلى من صحن حمص وفول مسبحة من عند هاشم والجو بكون لسا بدو يصحصح,ammani,positive,high
"جو عمان متقلب أكثر من مزاجي، الصبح بكون شتا والظهر صيف وبالليل بترجع تشتي",ammani,negative,high
"عمان بالليل غير، الأضواء والقعدة بالمطلات بتخلي الواحد ينسى كل هموم الشغل والتعب تبعه",ammani,positive,high
