label,text
Negative,لم تعجبني كباقي السلسلة و غير متحمس لقراءة الجزء الثاني منها
Positive,كان المكان ممتاز والأمن والاستقبال اوكي . . التكييف كان حار وبلغت اكثر من مره يتم له صيانه ولكن دون جدوي بالاضافة انه السرفس كان نوعا ما ضعيف حتي عمل اللاندري ما كان منوفر في نفس الفندق وكان اللاندري يكون خارج الفندق والسعر كان غالي الثمن وانا استغربت من الأسعار
Negative,القصة اجمالا مشوقة كونها تعتمد علي شخصيات يجمع بينها مكان مشترك ولكن الكاتب ابي الا ان يجمع بينهم في قصصهم ايضا الشخصيات تناولها سطحي جدا ليس هناك اي عمق لها ثم لماذا لم يتناول ال راكب وتناول بعضهم؟ الاهم انه يحاول ان يجعل هناك فكرة فلسفية في القصة ولكنها فكرة تافهة. مازالت التفاهة والاساءة الي المقدسات تشهر من يتناولها للاسف اللغة سوقية للغاية وغير جذابة اطلاقا ترتيب الاحداث خصوصا في قصة ياسر مبروك به شيء من الخلل فهو تارة يتحدث عن نوال وقبلها وبعدها يتحدث عن السيدة المسيحية فقط لاقحام موضوع الفتنة الطائفية
Mixed,اربع نجوم لولا الملل الذي اصابني في النهاية... رواية جميلة بالمجمل اخذت منها الكثير من الاقتباسات... واكثر ما اعجبني اختيار ريم للسفر والخروج من قعوعة زياد...
Negative,رواية مملة .. اول صفحة يدل على ان الرواية دى رواية جامده أوى .. بس للاسف الكاتب حاول يطول بطريقة مشوقه لكن مقدرش .. مقدرتش أكملها مع أن الفكرة كويسه .. أتمنى أشوف الأحسن من حضرتك يا استاذ حسن:
Mixed,مرضي. الموقع.المطعم الصيني لذيذ. التكنولوجيا المستخدمة في الغرفة.. طلبت تزيين الغرفة بمناسبة الزواج.وكان التزيين اقل اقل من عادي مقابل المبلغ الذي اخذوة مقابل تزيين الغرفة. اللوبي صغير جدا. لايوجد مكان هادي ومهئ للمساج اذا تبغى يجيك في غرفتك.
Negative,بصراحة هالمطعم تغير للاسوء للاسف جربت جميع الافرع لكن مو نفس قبل اربع سنين حتى قبل يغير اسمه كان فعلا الشيف رائع .. ا
Mixed,حسن. . تعامل موظفين الاستقبال سئ وخاصة الموظفين الهنود والبنغاليوايضا ازعاج من الطيران وايضا ازعاج السكان المجاورين للغرف من ناحية أصواتهم وايضا عند تحريك الطاولة واي شي اخر صوتهم عندكبصراحة من ناحية الإزعاج وعدم الراحة غير ممتاز
Mixed,"تفاجئت بكون الكتاب يتحدث عن اله المسيح فلم احب كيف كتب الكاتب بعض الكلام عن الاله حيث يخبر الاله بخوفه من ان يذهب او سؤاله للاله بأن يسهر معه او يلعب مع والده الورق وان يعد له من يتزوج من ضيعتهم قريتهم افهم انه كلام طفل صغير ولكن لم استسيغه لمعرفتي بأن الله اكبر من هذا الكلام فهو الحي الذي لايموت وبيده كل شي. ولكن بشكل عام كان الاسلوب سلس وكلمات تصل للقلب وهذا مااحببته منه. فسل يا ثلج عن ولد. آان هنا مكانك يلعب. متى غفوت في السرير. لا عندما اآذب على أمي. بل عندما أغفو حقا. قلت لهم :. ألا تسكرون الأبواب. العاصفة هنا عند المفرق. وقالوا :. على مر الأيام تعودت الأبواب. وسوف تتسكر وحدها عندما ترى العاصفة. قلت : ألا تسكرونها أنتم بأيديكم القوية. قالوا : مللنا الحياة. امتلأت الأرض بالشتائم والحقد. زرعوا خناجر في قلب الكلام. صاروا يعدون ذآيا من يكفر أحسنهم باالله. ذآيا الذي آلامه اآثر الكلام سفالة. آه لو آان الكلام آالخبز يشرى. فلا يستطيع أحد أن يتكلم. إلا إذا اشترى آلاما. وقلت لهم. ألا تسكرون الأبواب. فقالوا :. ليت آل همومنا أبواب للتسكير. آمل أن يكون الوداع ساعة لا أآون. آمل أن تقتل العصافير ، يوم أآون بعيدا. آمل أن يموت الأحباء ، يوم أآون في سفر. آمل آثيرا. لأن العين الدامعة تبكيني. وآم من شيء. أريد منه أن أتدارى. لكن. لا مفر من الدموع .. كلهم يعرفون أن دقيقة العمر. مرة تأتي. ويعرفون أن الفرح فيها. أحلى من الحزن. لكنهم لا يصدقون أنفسهم .. أحبك قدر ما تحبني. بل خف أن يصير حبي لك. أآبر من حبك لي. ليتهما يعرفان أن العتاب آالدخان يفنى. ليتهما يعرفان أن الفرح أقوى من الحزن. ليتهما يعرفان أن الفرح أقوى من الحزن. ليتهما يعرفان أن لحظة العمر الأخيرة. قد تنزل علينا تأخذنا. ونحن نتخاصم. ليتني لا أعرف ما أعرف . حائر أنا. بين أن يبدأ الفرح. وألا يبدأ. مخافة ينتهي .. لا يعود شيء يخيف. إن صرناه ."
Mixed,"معلومات وفيرة عن الديانات ؛ سواء السماوية ام الاخرى ... اراد سلطان الموسى ان يوصل رسالة سلسة و سهلة الى القراء الاعزاء عن الديانات و ردا على الملحدين او المتأثرين بالإلحاد او يفكرون به و هم على هاوية الطريق ... استطاع توضيح نقاط مهمة من الدين الإسلامي و بعض المعلومات التي يجب ان لا تكون مبهمة للمسلمين ... قد يستطيع الكتاب ردع من كان يفكر بالإلحاد، ولكن من وجهة نظري انه لن يؤثر كثيرا على من تعمق في الإلحاد لسطحية الكتاب ... وفقك الله يا استاذ سلطان لتوصيل رسالتك"
