id ,text,source,label_guess,confidence,classification
1,حطوا الزاد للضيوف ,Twitter ,Bedouin,High,Neutral
2,فزعنا لكم,Twitter ,Bedouin,Medium,Positive
3,عطني خبرك وخذ خبري,Twitter ,Bedouin,Medium,Neutral
4,دمنا واحد يا ولد عمي,Twitter ,Bedouin,High,Neutral
5,قوكم ,Facebook ,Bedouin,low,Neutral
6,اللي ما يِعرف الصقر يِشويه,Facebook ,Bedouin,Medium,Neutral
7,بيض الله وجهك,Facebook ,Bedouin,Medium,Positive
8,معَزّبنا اليوم ذبح ذبيحة,Facebook ,Bedouin,High,Neutral
9,حي الله بيك ,Twitter ,Bedouin,Medium,Positive
10,يا ولد صب هالفنجان و زود الهيل للمساير الي لفونه,Facebook ,Bedouin,High,Neutral
11,جيناك بعطوى  ما تنرد لا تسود وجوهنا الله لا يسود وجهك ,Twitter ,Bedouin,High,Negative
12,الضيف لو يجي فجأة نلقى له مكان ونكرمه بالطيب,LLM,Bedouin,High,Positive
13,ودي اصدقك بس قويه ,Twitter ,Bedouin,High,Neutral
14,حنا نعرف الحشم ونحترم اللي أكبر منا,Facebook ,Bedouin,Medium,Positive
15,بيت السبع ما يخلى من العظام,Twitter ,Bedouin,Medium,Negative
16,عيَا يروح على المدرسه ,Facebook ,Bedouin,Medium,Negative
17,علامك تهاوش ,Facebook ,Bedouin,Medium,Negative
18,أرعيه وين ,Facebook ,Bedouin,Medium,Neutral
19,من متاه وانت اهني,Facebook ,Bedouin,Medium,Neutral
20,ودياك تمر علي,Facebook ,Bedouin,Medium,Neutral
21,لما قوطرنا ,Facebook ,Bedouin,low,Neutral
22,عييت عنه ,Facebook ,Bedouin,Medium,Negative
23,قِب عني,Facebook ,Bedouin,Medium,Negative
24,أجنص,Facebook ,Bedouin,low,Negative
25,أسري من الجهمة,Facebook ,Bedouin,low,Neutral
26,ألـبـخ ,Facebook ,Bedouin,low,Negative
27,يا زقينه زقيناه,Facebook ,Bedouin,low,Negative
28,ازريت,Facebook ,Bedouin,low,Negative
29,الخوصة ,Facebook ,Bedouin,low,Neutral
30,اغر جاي,Facebook ,Bedouin,low,Negative
31,اليوم ربوعنا مجتمعين عند المضارب نسولف ونشرب قهوة,LLM,Bedouin,High,Neutral
32,لا تهتم يا ولد عمي حنا نفزع لك وقت الضيق,LLM,Bedouin,High,Positive
33,الضيف له واجب علينا ونكرمه بفنجال القهوة,LLM,Bedouin,High,Positive
34,ربعي ما يقصرون وقت الشدة دايم وقفة رجال,LLM,Bedouin,Medium,Neutral
35,هالليلة عندنا قعدة وسوالف حول النار,LLM,Bedouin,Medium,Neutral
36,اللي ما يعرف الفزعة ما يعرف طيب الربوع,LLM,Bedouin,High,Positive
37,حنا نوقف مع خويّنا لو الدنيا كلها عليه,LLM,Bedouin,Medium,Positive
38,القهوة العربية دايم حاضرة عند أهل الكرم,LLM,Bedouin,Medium,Positive
39,اللي يطلب الفزعة يلقانا حاضرين بدون تردد,LLM,Bedouin,High,Positive
40,الجار له حق والضيف له تقدير عندنا,LLM,Bedouin,Medium,Neutral
41,ما نرد الضيف حتى لو الظروف صعبة,LLM,Bedouin,Medium,Positive
42,ربعي ما يقصرون وقت الفزعة لو اشتدت علينا الشدة,LLM,Bedouin,High,Neutral
43,جيناكم بعطوة ما تنرد ونطلب منكم السمح والطيب,LLM,Bedouin,High,Positive
44,ولد العم عزوة وما ينترك وقت الحاجة والشدّة,LLM,Bedouin,High,Neutral
45,الدخيل بيننا له الأمان ونوقف معه لو صار عليه,LLM,Bedouin,High,Positive
46,الصيف على الباب والمية تشح في البير,LLM,Bedouin,Medium,Neutral
47,الريح من الشمال والليلة ما في دفا,LLM,Bedouin,Medium,Neutral
48,الرجال يتبين في وقت الشدة مو وقت الرخا,LLM,Bedouin,Medium,Neutral
49,بعت الناقة بسعر ما رضيت بأقل منه,LLM,Bedouin,High,Neutral
50,الكيل الصادق بركة والغش ما يدوم,LLM,Bedouin,High,Positive
51,وادي السرحان فاض والإبل ما قدرت تعبر,LLM,Bedouin,High,Neutral
52,يا طيب أصله من جدوده وطيب الأصل ما يخيب,LLM,Bedouin,High,Positive
53,الدية تُدفع والوجه يبيض أمام الكبار,LLM,Bedouin,Medium,Neutral
54,العريس من ولاد الشايب وما فيه كلام,LLM,Bedouin,High,Neutral
55,يسعد صباحك يا ولد عمي وين طالع؟,LLM,Bedouin,Medium,Neutral
56,الضيف بيتنا وما ينترك يمشي بدون عشا,LLM,Bedouin,High,Neutral
57,فارس وما يحتاج سيف من شيمته تغنيه,LLM,Bedouin,Medium,Neutral
58,الضيف عزيز علينا ولو جا بغير موعد,Facebook,Bedouin,High,Positive
59,صبّ القهوة يا ولد وزود الهيل ما نبخل على ضيوفنا,LLM,Bedouin,High,Neutral
60,ذبحنا للضيف عشا وما قصرنا بحقه,LLM,Bedouin,High,Positive
61,اللي يدق بابنا ما يمشي بدون فنجال,LLM,Bedouin,High,Neutral
62,المعزب كريم وذبيحته على الجمر,Twitter,Bedouin,High,Positive
63,حي الله بالضيوف نورتوا المضارب,Facebook,Bedouin,High,Positive
64,القهوة حاضرة والدلة ما تبرد عندنا,Twitter,Bedouin,High,Positive
